IID1	IID2	PI_HAT
137_CC_UNK_ENG_M	415_CC_GRW_HUN_F	0.1917
137_CC_UNK_ENG_M	416_CC_GRW_HUN_F	0.1942
137_CC_UNK_ENG_M	417_CC_GRW_HUN_F	0.1981
137_CC_UNK_ENG_M	418_CC_GRW_HUN_F	0.2059
137_CC_UNK_ENG_M	419_CC_GRW_HUN_F	0.1933
137_CC_UNK_ENG_M	420_CC_GRW_HUN_F	0.2067
137_CC_UNK_ENG_M	421_CC_GRW_HUN_F	0.2178
137_CC_UNK_ENG_M	422_CC_GRW_HUN_F	0.2102
137_CC_UNK_ENG_M	423_CC_GRW_HUN_F	0.1982
137_CC_UNK_ENG_M	424_CC_GRW_HUN_F	0.2011
137_CC_UNK_ENG_M	426_CC_GRW_HUN_F	0.1871
137_CC_UNK_ENG_M	427_CC_GRW_HUN_F	0.2114
137_CC_UNK_ENG_M	428_CC_GRW_HUN_F	0.2000
137_CC_UNK_ENG_M	429_CC_GRW_HUN_F	0.2086
137_CC_UNK_ENG_M	430_CC_GRW_HUN_F	0.1957
137_CC_UNK_ENG_M	431_CC_UNK_EST_F	0.2269
137_CC_UNK_ENG_M	432_CC_UNK_IRA_F	0.2205
137_CC_UNK_ENG_M	433_CC_UNK_CHN_F	0.1896
137_CC_UNK_ENG_M	434_CC_UNK_UKR_F	0.2279
137_CC_UNK_ENG_M	435_CC_UNK_UKR_F	0.2210
137_CC_UNK_ENG_M	436_CC_UNK_ROM_F	0.2556
137_CC_UNK_ENG_M	437_CC_UNK_MAC_F	0.2403
137_CC_UNK_ENG_M	438_CC_UNK_RUS_F	0.2327
137_CC_UNK_ENG_M	439_CC_UNK_RUS_F	0.2363
137_CC_UNK_ENG_M	440_CC_UNK_RUS_F	0.2336
137_CC_UNK_ENG_M	441_CC_UNK_RUS_F	0.2439
137_CC_UNK_ENG_M	442_CC_UNK_RUS_F	0.2357
137_CC_UNK_ENG_M	443_CC_UNK_RUS_F	0.2496
137_CC_UNK_ENG_M	444_CC_UNK_MON_F	0.2425
137_CC_UNK_ENG_M	445_CC_UNK_TOG_F	0.2289
139_CC_UNK_BLR_M	237_CC_ORW_CHN_F	0.2352
139_CC_UNK_BLR_M	239_CC_ORW_CHN_F	0.2058
142_CC_UNK_RUS_M	394_CC_UNK_RUS_M	0.4913
151_CC_GRW_CZE_F	155_CC_GRW_CZE_F	0.8287
152_CC_GRW_CZE_F	156_CC_GRW_CZE_M	0.2125
165_CC_ORW_CHN_M	170_CC_ORW_CHN_M	0.5131
165_CC_ORW_CHN_M	173_CC_ORW_CHN_M	0.3940
165_CC_ORW_CHN_M	206_CC_ORW_CHN_F	0.4875
166_CC_ORW_CHN_M	178_CC_ORW_CHN_M	0.5377
166_CC_ORW_CHN_M	209_CC_ORW_CHN_F	0.3977
166_CC_ORW_CHN_M	210_CC_ORW_CHN_F	0.3970
166_CC_ORW_CHN_M	239_CC_ORW_CHN_F	0.3868
167_CC_ORW_CHN_M	168_CC_ORW_CHN_M	0.4633
167_CC_ORW_CHN_M	172_CC_ORW_CHN_M	0.4018
167_CC_ORW_CHN_M	177_CC_ORW_CHN_M	0.5847
167_CC_ORW_CHN_M	197_CC_ORW_CHN_F	0.3642
167_CC_ORW_CHN_M	201_CC_ORW_CHN_F	0.2431
167_CC_ORW_CHN_M	203_CC_ORW_CHN_F	0.4557
167_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.3516
167_CC_ORW_CHN_M	241_CC_ORW_CHN_M	0.3588
168_CC_ORW_CHN_M	172_CC_ORW_CHN_M	0.6978
168_CC_ORW_CHN_M	176_CC_ORW_CHN_M	0.5262
168_CC_ORW_CHN_M	177_CC_ORW_CHN_M	0.2799
168_CC_ORW_CHN_M	197_CC_ORW_CHN_F	0.7863
168_CC_ORW_CHN_M	198_CC_ORW_CHN_F	0.4400
168_CC_ORW_CHN_M	201_CC_ORW_CHN_F	0.5696
168_CC_ORW_CHN_M	203_CC_ORW_CHN_F	0.6666
168_CC_ORW_CHN_M	237_CC_ORW_CHN_F	0.6255
168_CC_ORW_CHN_M	241_CC_ORW_CHN_M	0.7666
