ID	Cluster
279_CC_UNK_RUS_F	CC_4
280_CC_UNK_RUS_F	CC_4
281_CC_UNK_RUS_M	CC_4
282_CC_UNK_RUS_M	CC_14
283_CC_UNK_RUS_F	CC_14
284_CC_UNK_RUS_M	CC_14
285_CC_UNK_RUS_F	CC_14
286_CC_UNK_RUS_F	CC_14
287_CC_UNK_RUS_M	CC_4
288_CC_UNK_RUS_F	CC_16
289_CC_UNK_RUS_M	CC_16
290_CC_UNK_RUS_M	CC_16
291_CC_UNK_RUS_F	CC_16
292_CC_UNK_RUS_M	CC_16
293_CC_UNK_RUS_M	CC_16
294_CC_UNK_RUS_F	CC_16
295_CC_UNK_RUS_F	CC_16
296_CC_UNK_RUS_M	CC_16
297_CC_UNK_RUS_M	CC_18
298_CC_UNK_RUS_M	CC_18
299_CC_UNK_RUS_F	CC_18
300_CC_UNK_RUS_M	CC_18
301_CC_UNK_RUS_F	CC_10
302_CO_UNK_RUS_F	CC_10
303_CC_UNK_RUS_M	CC_4
304_CC_UNK_RUS_F	CC_4
309_CO_ACW_RUS_F	CO_2
310_CO_ACW_RUS_F	CO_2
311_CO_ACW_RUS_F	CO_2
313_CO_ACW_RUS_M	CO_2
315_CC_ACW_RUS_F	CC_19
316_CO_ACW_RUS_F	CO_3
317_CO_SCC_RUS_F	CO_2
318_CO_SCC_RUS_F	CO_2
320_CO_SCC_RUS_F	CO_2
322_CO_SCC_RUS_M	CO_4
323_CO_SCC_RUS_M	CO_4
324_CO_SCC_RUS_F	CO_4
327_CO_SCC_RUS_F	CO_4
328_CC_SCC_RUS_F	CC_18
329_CO_SCC_RUS_M	CO_4
330_CO_SCC_RUS_F	CO_4
332_CO_SCC_RUS_M	CO_2
333_CO_SCC_RUS_F	CO_2
334_CO_SCC_RUS_F	CO_2
335_CO_SCC_RUS_F	CO_2
336_CO_SCC_RUS_F	CO_2
337_CO_SCC_RUS_M	CO_2
338_CO_SCC_RUS_M	CO_2
339_CO_SCC_RUS_M	CO_2
340_CO_SCC_RUS_M	CO_2
341_CO_SCC_RUS_M	CO_5
343_CO_SCC_RUS_M	CO_5
344_CO_SCC_RUS_M	CO_5
345_CO_SCC_RUS_M	CO_6
346_CO_YBW_RUS_F	CO_7
347_CO_YBW_RUS_M	CO_7
348_CO_YBW_RUS_F	CO_7
349_CO_YBW_RUS_M	CO_7
350_CO_YBW_RUS_M	CO_7
351_CO_YBW_RUS_M	CO_7
352_CO_YBW_RUS_F	CO_7
353_CO_YBW_RUS_F	CO_7
354_CO_YBW_RUS_F	CO_7
355_CO_YBW_RUS_F	CO_2
356_CO_YBW_RUS_M	CO_8
357_CO_YBW_RUS_F	CO_8
358_CO_PLW_RUS_F	CO_9
359_CO_PLW_RUS_M	CO_10
360_CO_PLW_RUS_F	CO_10
361_CO_PLW_RUS_M	CO_10
362_CO_PLW_RUS_F	CO_10
363_CO_PLW_RUS_M	CO_9
364_CO_PLW_RUS_M	CO_9
365_CO_PLW_RUS_M	CO_9
