ID	Analysis_All	Analysis_Unrelated	Analysis_ADMIXTURE	Analysis_Demography	Latitude	Longitude	IDNum	Migration	Gens	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Age	Source	Sampling_Year	Sampling_Month	Country	Hap	HapCol	Cluster
327_CO_SCC_RUS_F	1	1	1	0	57.01667	61.38333	327	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	13.93	13	755.97	56.5	153.295366	152.09342	0.99215928	22.9943049	22.76398973	0.989983817	Adult	Growing Feather	2018	6	RUS	NA	NA	CO_4
323_CO_SCC_RUS_M	1	1	1	0	57.56667	62.68333	323	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	12.78	11	541.53	46.36386986	131.596686	130.602816	0.992447606	19.7395029	19.51927086	0.988843081	Young	Growing Feather	2003	6	RUS	NA	NA	CO_4
388_CO_SCC_RUS_M	1	1	1	0	57.56667	62.7	388	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	13.78	13	12051.94	908.8944193	143.145114	142.093902	0.992656319	21.4717671	21.28063937	0.991098649	Adult	Muscle	2020	6	RUS	NA	NA	CO_4
324_CO_SCC_RUS_F	1	1	1	0	57.58333	62.68333	324	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	12.65	11	336.76	29.54035088	135.800284	132.13202	0.972987803	20.3700426	19.75793474	0.969950585	Young	Growing Feather	2003	6	RUS	NA	NA	CO_4
322_CO_SCC_RUS_M	1	1	1	0	57.58333	62.71667	322	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	14.01	13	680.33	52.33307692	140.937754	140.10262	0.994074448	21.1406631	20.94536512	0.990761975	Young	Embryo	2003	6	RUS	NA	NA	CO_4
034_CC_MPT_NOR_F	1	1	1	0	61.23	10.71	034	NA	An. Pratensis	Common cuckoo	C. c. canorus	21	CC	F	Missing	20.58	21	345.52	16.85463415	251.165044	243.734782	0.970416815	25.36766944	24.60922324	0.970101857	Young	Blood	2009	6	NOR	W7	#FDBF6F	CC_6
035_CC_MPT_NOR_F	1	1	1	0	61.23	10.71	035	NA	An. Pratensis	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.75	16	1307.36	78.33193529	205.945976	198.48872	0.963790232	20.80054358	20.04099652	0.963484269	Young	Tissue	2010	7	NOR	W7	#FDBF6F	CC_6
036_CC_MPT_NOR_F	1	1	1	0	61.23	10.71	036	NA	An. Pratensis	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.46	19	128.49	6.63003096	238.601446	230.66498	0.966737561	24.09874605	23.28740455	0.966332626	Young	Blood	2013	7	NOR	W7	#FDBF6F	CC_6
030_CC_MPT_NOR_F	1	1	1	0	61.41666	8.8666	030	NA	An. Pratensis	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.55	15	353.59	22.82698515	190.548464	184.567882	0.968613854	19.24539486	18.63248628	0.968152974	Young	Blood	1998	7	NOR	W7	#FDBF6F	CC_6
032_CC_MPT_NOR_M	1	1	1	0	61.41666	8.8666	032	NA	An. Pratensis	Common cuckoo	C. c. canorus	21	CC	M	Missing	14.07	14	51.04	3.640513552	173.09991	166.679276	0.96290793	17.48309091	16.82944861	0.962612886	Adult	Blood	1992	6	NOR	W7	#FDBF6F	CC_6
008_CC_RED_FIN_M	1	1	1	0	61.42	28.53	008	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	M	Missing	12.44	13	44.18	3.562903226	149.490738	146.755684	0.981704191	15.09856454	14.81731107	0.981372172	Young	Blood	2007	6	FIN	W1	#A6CEE3	CC_4
009_CC_RED_FIN_M	1	1	1	0	61.42	28.53	009	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.73	14	24.89	1.819444444	165.786116	162.462766	0.979953991	16.74439772	16.40347493	0.979639591	Young	Blood	2007	6	FIN	W1	#A6CEE3	CC_4
010_CC_RED_FIN_F	1	1	1	0	61.42	28.53	010	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	20.54	20	22.43	1.095749878	248.02	243.106588	0.980189452	25.05002	24.54525535	0.979849731	Young	Blood	2007	6	FIN	W1	#A6CEE3	CC_4
021_CC_RED_FIN_F	1	1	1	0	61.42	28.53	021	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.75	16	62.81	4.000636943	190.257602	186.359308	0.979510443	19.2160178	18.81641409	0.979204656	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
022_CC_RED_FIN_F	1	1	1	0	61.42	28.53	022	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	18.01	19	103.21	5.746659243	217.527014	212.995158	0.979166468	21.97022841	21.50606527	0.978873085	Young	Blood	2006	7	FIN	W1	#A6CEE3	CC_4
023_CC_RED_FIN_F	1	1	1	0	61.42	28.53	023	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	11.27	11	23.61	2.102404274	135.438898	132.724796	0.97996069	13.6793287	13.40133025	0.979677479	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
024_CC_RED_FIN_M	1	1	1	0	61.42	28.53	024	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	M	Missing	18.1	19	99.68	5.522437673	219.097396	214.099528	0.97718883	22.128837	21.6178932	0.976910499	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
025_CC_RED_FIN_F	1	1	1	0	61.42	28.53	025	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.26	20	63.85	3.327253778	232.45582	227.237708	0.977552242	23.47803782	22.944024	0.977254751	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
043_CC_RED_FIN_F	1	1	1	0	61.42	28.53	043	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	68.06	64	190.29	3.431121529	846.644034	812.00922	0.959091646	85.51104743	81.95555198	0.95842063	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
053_CC_RED_FIN_F	1	1	1	0	61.42	28.53	053	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.51	15	90.8	5.685660614	172.134508	170.959168	0.993171968	25.8201762	25.61299682	0.991976066	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
054_CC_RED_FIN_F	1	1	1	0	61.42	28.53	054	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	17.5	15	69.7	4.102413184	182.03093	180.207676	0.989983823	27.3046395	26.98529037	0.988304217	Young	Blood	2007	6	FIN	W1	#A6CEE3	CC_4
085_CC_RED_FIN_M	1	1	1	0	61.42	28.53	085	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	M	Missing	14.46	13	50.54	3.670297749	148.64901	147.490048	0.992203365	22.2973515	22.09891504	0.991100447	Young	Blood	2006	6	FIN	W1	#A6CEE3	CC_4
089_CC_RED_FIN_F	1	1	1	0	61.42	28.53	089	NA	P. phoenicurus	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.01	14	50.4	3.519553073	152.515002	151.22825	0.991563112	22.8772503	22.65420789	0.990250471	Young	Blood	2007	6	FIN	W1	#A6CEE3	CC_4
393_CC_UNK_RUS_F	1	1	1	0	62	129.8	393	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	grey	7.27	6	731.74	136.5186567	80.346102	79.933466	0.994864269	12.0519153	11.75775912	0.975592578	Adult	Tissue	2018	5	RUS	W6	#E31A1C	CC_21
355_CO_YBW_RUS_F	1	1	1	1	62.28333	88.95	355	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	13.9	13	1004.06	76.70435447	141.711964	140.607374	0.992205386	21.2567946	21.04195219	0.989893001	Young	Embryo	2018	6	RUS	NA	NA	CO_2
255_CC_SRT_RUS_M	1	1	1	0	62.28333	88.96667	255	NA	C. calliope	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.39	12	641.34	51.3072	143.459106	142.215898	0.99133406	21.5188659	21.28117269	0.988954194	Young	Feather	2017	7	RUS	W2	#1F78B4	CC_15
256_CC_SRT_RUS_F	1	1	1	0	62.28333	88.96667	256	NA	C. calliope	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.51	12	505.11	40.86650485	135.571698	133.960142	0.988112888	20.3357547	20.04914493	0.985906116	Young	Tissue	2018	6	RUS	W2	#1F78B4	CC_15
309_CO_ACW_RUS_F	1	1	1	0	62.28333	88.96667	309	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	10.48	9	472.17	51.10064935	111.064628	109.871414	0.98925658	16.6596942	16.37171471	0.982713999	Young	Embryo	2016	7	RUS	NA	NA	CO_2
318_CO_SCC_RUS_F	1	1	1	1	62.28333	88.96667	318	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	13.03	12	3315.53	265.8805132	133.90378	132.684564	0.990894835	20.085567	19.85711845	0.988626234	Young	Embryo	2018	6	RUS	NA	NA	CO_2
334_CO_SCC_RUS_F	1	1	1	1	62.28333	88.96667	334	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	16.87	15	1893.52	117.7562189	186.581962	185.047308	0.991774907	27.9872943	27.67788205	0.988944546	Young	Growing Feather	2017	7	RUS	NA	NA	CO_2
335_CO_SCC_RUS_F	1	1	1	1	62.28333	88.96667	335	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	14.97	13	1313.02	92.72740113	160.597526	159.21591	0.991397028	24.0896289	23.81620636	0.988649782	Young	Growing Feather	2017	7	RUS	NA	NA	CO_2
336_CO_SCC_RUS_F	1	1	1	1	62.28333	88.96667	336	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	16.3	14	2111.31	136.5659767	178.373698	176.540678	0.989723709	26.7560547	26.4043901	0.986856635	Young	Growing Feather	2017	7	RUS	NA	NA	CO_2
405_CO_ACW_RUS_F	1	1	1	1	62.28333	88.96667	405	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	12.85	12	1340.51	113.4103215	132.567802	131.616102	0.992821032	19.8851703	19.67009037	0.989183903	Young	Embryo	2020	7	RUS	NA	NA	CO_2
277_CC_UNK_RUS_F	1	1	1	0	62.43333	176.6167	277	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.44	13	42.79	3.332554517	137.162782	136.338928	0.993993604	20.5744173	20.41858724	0.992426028	Adult	Tissue	2017	6	RUS	W2	#1F78B4	CC_17
276_CC_UNK_RUS_F	1	1	1	0	62.53333	177.05	276	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.48	11	3190.62	250.8349057	149.418784	147.954368	0.990199251	22.4128176	22.12780512	0.987283505	Adult	Tissue	2014	6	RUS	W2	#1F78B4	CC_17
404_CO_YBW_RUS_F	1	1	1	0	62.55	177.0667	404	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	14.87	14	12860.85	907.6111503	148.28421	147.334976	0.99359855	22.2426315	22.06803032	0.992150156	Young	Muscle	2018	6	RUS	NA	NA	CO_8
356_CO_YBW_RUS_M	1	1	1	0	64.3	174.1	356	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	12.83	12	6793.44	559.5914333	131.909244	130.74295	0.99115836	19.7863866	19.57669834	0.989402398	Adult	Muscle	2006	6	RUS	NA	NA	CO_8
357_CO_YBW_RUS_F	1	1	1	0	64.3	174.1	357	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	rufous	13.41	12	4912.76	395.234111	138.631274	137.39349	0.991071394	20.7946911	20.54741317	0.988108603	Adult	Muscle	2006	6	RUS	NA	NA	CO_8
027_CC_BRA_FIN_M	1	1	1	0	67.65	24.9	027	NA	F. montifringilla	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.46	13	66.98	4.994780015	163.184864	159.30663	0.976234107	16.48167126	16.08222125	0.975763986	Young	Blood	2006	6	FIN	W6	#E31A1C	CC_5
028_CC_BRA_FIN_F	1	1	1	0	67.65	24.9	028	NA	F. montifringilla	Common cuckoo	C. c. canorus	21	CC	F	Missing	18.83	19	459.42	24.47629196	227.492176	222.171676	0.976612382	22.97670978	22.43160921	0.976275952	Young	Blood	2007	6	FIN	W6	#E31A1C	CC_5
029_CC_BRA_FIN_F	1	1	1	0	67.65	24.9	029	NA	F. montifringilla	Common cuckoo	C. c. canorus	21	CC	F	Missing	23.82	24	4091.66	172.4256216	291.455138	282.00302	0.967569218	29.43696894	28.46849447	0.967100062	Young	Tissue	2007	6	FIN	W6	#E31A1C	CC_5
